backbone,fusion,regressor,cv_mae_mean,cv_mae_std,cv_mse_mean,cv_mse_std,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std
densenet121,diagonal only,linear,0.4965499329626561,0.09313083619475365,0.3678957633597447,0.13226149494529926,0.5963198568453902,0.11089811401298943,0.7998054381239672,0.03242363384865976
densenet121,diagonal only,ridge,0.5058270514070988,0.08773883432745933,0.37204456381303,0.12260303006132889,0.6013765483865319,0.10193532686822229,0.7961713165513806,0.02622702182405462
densenet121,diagonal only,elasticnet,0.5954322745800019,0.015655813455581646,0.5063803723241062,0.011712576978679778,0.7115564877736098,0.008230250991967836,0.7005270974210505,0.06940780180181644
dummy_mean,dummy_mean,dummy_mean,1.2157525282569899,0.0,1.949088399762046,0.0,1.3960975609756097,0.0,0.0,0.0
