backbone,fusion,regressor,cv_mae_mean,cv_mae_std,cv_mse_mean,cv_mse_std,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std
densenet121,concat,linear,0.25957371196461476,0.06018944258726166,0.09707845082036634,0.042399626987452074,0.30525559536316305,0.062429739065987075,,
densenet121,concat,elasticnet,0.29211710939849017,0.08326532268705189,0.1435340335892521,0.07623171758501274,0.36592529812427516,0.09814636917335495,,
densenet121,concat,ridge,0.29346285822115703,0.12252569850935757,0.1328966117816654,0.10885447830604054,0.3416349443286942,0.12720918439796483,,
densenet121,concat_abs_diff,linear,0.3338640749171414,0.14749853324816709,0.16173360207176668,0.1110937229258838,0.38015555713918525,0.13120729571164202,,
densenet121,concat_abs_diff,elasticnet,0.336472652850979,0.10736649599110293,0.18531074127778893,0.1114905012311337,0.41112938076916994,0.12760632251635423,,
densenet121,concat_abs_diff,ridge,0.3450906569222985,0.14791404838841649,0.17440925522296774,0.11853767546222611,0.39306108180287697,0.14111074089139974,,
