backbone,fusion,regressor,cv_mae_mean,cv_mae_std,cv_mse_mean,cv_mse_std,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std
vit_b_16,concat,mlp,0.2916663149283046,0.024754566419859604,0.147023977889388,0.02341999364790323,0.382206292776168,0.030697355776778814,0.8967709984764722,0.015995692834793573
vit_b_16,concat,linear,0.3020004620154699,0.017322518280661982,0.1651533052906521,0.015367732696491672,0.40594831260715264,0.01895449239778113,0.8837407125246046,0.012438237124067008
densenet121,concat,mlp,0.3595441542920612,0.013178718135291768,0.20266856493717053,0.008158017293965567,0.45009624141026094,0.009051983513386149,0.857393411127017,0.008834783566551681
densenet121,concat,linear,0.4472622269675845,0.08908078853238188,0.3000813349014894,0.11000208271849522,0.5387248473196775,0.09928178977979603,0.7882542044841158,0.07893714737077671
dummy_mean,dummy_mean,dummy_mean,1.0614421768707483,0.0,1.4238381496598642,0.0,1.1932468938404426,0.0,0.0,0.0
