backbone,fusion,regressor,cv_mae_mean,cv_mae_std,cv_mse_mean,cv_mse_std,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std
densenet121,side only,elasticnet,0.38601449503217433,0.02751968601303271,0.2310067947337588,0.027037716617497515,0.47983481633201597,0.027664847177949838,0.8380457425916685,0.015550524258186213
densenet121,side only,ridge,0.38887970293135876,0.026873393561210334,0.2403373026384016,0.02620983379952104,0.4895375989695171,0.026272453893037923,0.8314017361880399,0.015554126102960666
densenet121,side only,linear,0.4217958329518637,0.015166399275347929,0.27110088779534475,0.022277918949776862,0.5202435161194487,0.021155891165762282,0.8096088258199503,0.0141768311604997
dummy_mean,dummy_mean,dummy_mean,1.0614421768707483,0.0,1.4238381496598642,0.0,1.1932468938404426,0.0,0.0,0.0
