backbone,fusion,regressor,cv_mae_mean,cv_mae_std,cv_mse_mean,cv_mse_std,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std
densenet121,concat,ridge,0.2581303148042588,0.03524784554833546,0.11083376986978763,0.032471970982965566,0.3296839992244047,0.04628423624940069,0.9215149592414115,0.025533546042438394
densenet121,concat,linear,0.26572785972413565,0.03338983048355428,0.11811084171066258,0.03190619129321883,0.34076261489098336,0.04462826462368805,0.9164453814174935,0.025050140252151798
densenet121,concat,elasticnet,0.26610587158657256,0.03897763086801846,0.11695766945468655,0.033626687339999496,0.33859658921093033,0.04806265940843321,0.917275372569347,0.026138117605176384
densenet121,concat_abs_diff,ridge,0.26719336605072025,0.03569044747374976,0.11861877319804717,0.032201165392125426,0.3415020062291937,0.04466713489225561,0.9160250420129115,0.025554900949990203
densenet121,concat_abs_diff,linear,0.2711692640213739,0.03435245135120667,0.12132529332767258,0.03321543125302801,0.34526177270286235,0.04603913159204459,0.9141219670913479,0.026221405547645057
densenet121,concat_abs_diff,elasticnet,0.2739546061016265,0.041066687461450785,0.12255251985763574,0.03523042246218631,0.34658016022520055,0.049342804905173995,0.9133148033553962,0.02737492922536535
densenet121,mean,ridge,0.2842400291533697,0.03902644611650309,0.13447347149913552,0.036537822556965714,0.3636769105011674,0.04703803001254834,0.9048897679238139,0.028862965419580642
densenet121,max,ridge,0.28615039315677826,0.028710213467486114,0.13542325423206653,0.028705772617210086,0.366046827935572,0.03785464291698302,0.9043421018144201,0.023016005146058637
densenet121,max,elasticnet,0.2883821872188931,0.05110523587368274,0.1409642319801179,0.04539924961224879,0.3712119937128627,0.056266221695076654,0.9001107605137701,0.03561448529679817
densenet121,mean,elasticnet,0.2912253384930747,0.04745963674082585,0.14373635341544536,0.04964802364354616,0.3743978829550148,0.059687340820716604,0.8980016748309827,0.03903509957021734
convnext_tiny,concat_abs_diff,ridge,0.2964285132998512,0.03120266873616183,0.1461753822083851,0.02780144584874208,0.3804061297589245,0.03829567404056715,0.8972194943128831,0.020212929257916165
convnext_tiny,mean,ridge,0.29838663172721863,0.0225390719921119,0.14104072357418646,0.017105799152591344,0.3748193225530529,0.023477627969131304,0.9007835640438364,0.013269855636844378
convnext_tiny,concat,ridge,0.29909418876965843,0.029434702216635696,0.14776716756910147,0.025437871407454894,0.38295281234963074,0.03338129839610759,0.895901276830554,0.01996036510401583
convnext_tiny,concat_abs_diff,elasticnet,0.2995248306478773,0.030790247354938745,0.14666025581610337,0.028716259935438488,0.3810375598641464,0.03834884338386787,0.8967030538374517,0.02197082206136016
convnext_tiny,concat_abs_diff,linear,0.300471542596817,0.031226953838841616,0.14808604328382802,0.02827277361595004,0.3828881044885614,0.03850639849407482,0.8958392461880269,0.02078342958938671
convnext_tiny,concat,elasticnet,0.3058875786236354,0.037779471027312356,0.15148074932374933,0.030848616746855358,0.38714585961839304,0.03998540613880083,0.8932277114251962,0.02399916606844084
convnext_tiny,mean,elasticnet,0.30606414290836886,0.04369184722322811,0.15081457819717856,0.03828633297829069,0.38527446628333506,0.04876642110376661,0.8935357300032265,0.029824758204426285
densenet121,max,linear,0.3061290358021146,0.023665675808780994,0.15700933408382478,0.026012257252869115,0.3949098783201907,0.03248879943852894,0.8893166442864242,0.02052648548374659
densenet121,mean,linear,0.3119214443933396,0.0299158234638148,0.15345359703093484,0.035361477470350795,0.38913105282693916,0.045062409575307105,0.8917628679294914,0.02716398853189303
convnext_tiny,max,ridge,0.31745536881401426,0.028423571905243413,0.16548931372774328,0.02688222130872581,0.4053721720030756,0.03409862010774304,0.8835692283678386,0.0201800853456288
convnext_tiny,concat,linear,0.31961663187117806,0.03186607092015443,0.1664019520640046,0.029017025135510705,0.4063900048498311,0.0353428355138471,0.882709799966553,0.023136044095215177
