backbone,fusion,regressor,cv_mae_mean,cv_mae_std,cv_mse_mean,cv_mse_std,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std
densenet121,top only,ridge,0.290394205229623,0.04082213241810229,0.14193931640487611,0.03948071001583488,0.3731236695489937,0.052134859999519265,0.8997678353341488,0.030251535339933994
densenet121,top only,elasticnet,0.3082475213550386,0.04113104946388966,0.15769649479866915,0.043203965890057525,0.39347230922786675,0.05362869259602747,0.8885814117031497,0.033380959819623544
densenet121,top only,linear,0.3172020562149229,0.03542917204841801,0.16424421507723927,0.034299888048729923,0.4030820146170681,0.04206072478554041,0.8840762245559389,0.026835446891685943
dummy_mean,dummy_mean,dummy_mean,1.0614421768707483,0.0,1.4238381496598642,0.0,1.1932468938404426,0.0,0.0,0.0
