file_name,bridge_angle,dlman,Fr_ini,plates,cubes,logs,Q[dm],batch,H_up,H_down,H_up_corr,H_down_corr,pic_side,pic_top,dh,dh_d0,rel_BW,carpet_length_avg,carpet_length_max,exp_id,volume
dried debris,45.0,0.0186046261988786,0.55,0.25,0.0,0.75,18.6,1.0,138.0,13.7,132.0,82.99999999999999,685.0,331.0,49.000000000000014,0.3821989528795811,,,,1,1.06
,45.0,0.0186046261988786,0.55,0.25,0.0,0.75,18.6,2.0,153.0,13.6,147.0,82.0,686.0,332.0,65.0,0.5392670157068062,,,,1,2.12
,45.0,0.0186046261988786,0.55,0.25,0.0,0.75,18.6,3.0,157.0,13.6,151.0,82.0,687.0,333.0,69.0,0.581151832460733,,,,1,3.18
,45.0,0.0186046261988786,0.55,0.25,0.0,0.75,18.6,4.0,161.0,13.6,155.0,82.0,688.0,334.0,73.0,0.6230366492146597,0.6230366492146597,?,?,1,4.24
N3_R_2P_F0.55_h0.9_0P25C75L_0HR_R1_4L_0HW_45Deg,45.0,0.0186046261988786,0.55,0.0,0.25,0.75,18.6,0.0,101.0,14.2,95.0,87.99999999999999,,,7.000000000000014,0.0,,,,2,0.0
dried debris,45.0,0.0186046261988786,0.55,0.0,0.25,0.75,18.6,1.0,142.0,13.7,136.0,82.99999999999999,689.0,335.0,53.000000000000014,0.431578947368421,,,,2,1.06
,45.0,0.0186046261988786,0.55,0.0,0.25,0.75,18.6,2.0,150.0,13.5,144.0,81.0,690.0,336.0,63.0,0.5157894736842106,,,,2,2.12
,45.0,0.0186046261988786,0.55,0.0,0.25,0.75,18.6,3.0,152.0,13.5,146.0,81.0,692.0,337.0,65.0,0.5368421052631579,,,,2,3.18
,45.0,0.0186046261988786,0.55,0.0,0.25,0.75,18.6,4.0,154.0,13.5,148.0,81.0,693.0,339.0,67.0,0.5578947368421052,0.5578947368421052,60,90,2,4.24
N3_R_2P_F0.55_h0.9_25P0C75L_0HR_R1_4L_0HW_45Deg,45.0,0.0186046261988786,0.55,0.25,0.0,0.75,18.6,0.0,101.0,14.2,95.0,87.99999999999999,,,7.000000000000014,0.0,,,,3,0.0
dried debris,45.0,0.0186046261988786,0.55,0.25,0.0,0.75,18.6,1.0,126.0,14.0,120.0,86.0,694.0,340.0,34.0,0.2631578947368421,,,,3,1.06
